timestamp,flow_rate_LPM,temperature_C,anomaly_type
2025-06-01 00:00:00,50.99,29.9,None
2025-06-01 00:01:00,51.3,31.5,None
2025-06-01 00:02:00,49.53,29.8,None
2025-06-01 00:03:00,53.16,30.8,None
2025-06-01 00:04:00,49.06,30.5,None
2025-06-01 00:05:00,49.07,29.5,None
2025-06-01 00:06:00,50.48,28.1,None
2025-06-01 00:07:00,46.55,29.4,None
2025-06-01 00:08:00,47.97,30.3,None
2025-06-01 00:09:00,48.18,28.6,None
2025-06-01 00:10:00,52.93,29.8,None
2025-06-01 00:11:00,50.14,28.6,None
2025-06-01 00:12:00,48.91,30.1,None
2025-06-01 00:13:00,47.7,30.4,None
2025-06-01 00:14:00,48.8,29.7,None
2025-06-01 00:15:00,48.8,31.9,None
2025-06-01 00:16:00,49.97,28.9,None
2025-06-01 00:17:00,51.65,28.8,None
2025-06-01 00:18:00,50.42,28.0,None
2025-06-01 00:19:00,47.34,30.2,None
2025-06-01 00:20:00,51.48,30.2,None
2025-06-01 00:21:00,49.77,29.7,None
2025-06-01 00:22:00,47.04,29.3,None
2025-06-01 00:23:00,49.08,31.1,None
2025-06-01 00:24:00,50.69,28.2,None
2025-06-01 00:25:00,50.65,29.6,None
2025-06-01 00:26:00,48.65,30.6,None
2025-06-01 00:27:00,52.06,30.9,None
2025-06-01 00:28:00,48.32,29.7,None
2025-06-01 00:29:00,50.66,31.0,None
2025-06-01 00:30:00,49.04,29.8,None
2025-06-01 00:31:00,47.79,28.8,None
2025-06-01 00:32:00,51.63,31.4,None
2025-06-01 00:33:00,49.86,31.0,None
2025-06-01 00:34:00,50.72,29.4,None
2025-06-01 00:35:00,50.72,31.5,None
2025-06-01 00:36:00,49.93,31.6,None
2025-06-01 00:37:00,44.76,30.8,None
2025-06-01 00:38:00,50.17,29.7,None
2025-06-01 00:39:00,50.18,28.0,None
2025-06-01 00:40:00,49.56,30.4,None
2025-06-01 00:41:00,52.96,29.5,None
2025-06-01 00:42:00,48.38,29.5,None
2025-06-01 00:43:00,51.83,30.3,None
2025-06-01 00:44:00,48.94,30.5,None
2025-06-01 00:45:00,50.19,31.0,None
2025-06-01 00:46:00,48.6,29.7,None
2025-06-01 00:47:00,49.22,28.5,None
2025-06-01 00:48:00,50.59,30.3,None
2025-06-01 00:49:00,50.01,29.8,None
2025-06-01 00:50:00,47.17,29.6,None
2025-06-01 00:51:00,49.31,29.2,None
2025-06-01 00:52:00,49.68,30.4,None
2025-06-01 00:53:00,53.77,30.2,None
2025-06-01 00:54:00,50.52,29.9,None
2025-06-01 00:55:00,46.16,30.0,None
2025-06-01 00:56:00,50.12,32.5,None
2025-06-01 00:57:00,49.62,30.3,None
2025-06-01 00:58:00,49.93,28.8,None
2025-06-01 00:59:00,52.29,30.8,None
2025-06-01 01:00:00,51.58,29.1,None
