timestamp,flow_rate_LPM,temperature_C,anomaly_type
2025-06-01 00:00:00.000,50.99,29.9,None
2025-06-01 00:01:26.400,51.3,31.5,None
2025-06-01 00:02:52.800,49.53,29.8,None
2025-06-01 00:04:19.200,53.16,30.8,None
2025-06-01 00:05:45.600,24.06,29.5,Pump Failure
2025-06-01 00:07:12.000,49.07,29.5,None
2025-06-01 00:08:38.400,50.48,28.1,None
2025-06-01 00:10:04.800,46.55,29.4,None
2025-06-01 00:11:31.200,47.97,30.3,None
2025-06-01 00:12:57.600,48.18,28.6,None
2025-06-01 00:14:24.000,52.93,29.8,None
2025-06-01 00:15:50.400,50.14,28.6,None
2025-06-01 00:17:16.800,48.91,30.1,None
2025-06-01 00:18:43.200,47.7,30.4,None
2025-06-01 00:20:09.600,48.8,29.7,None
2025-06-01 00:21:36.000,48.8,31.9,None
2025-06-01 00:23:02.400,49.97,28.9,None
2025-06-01 00:24:28.800,67.47,29.8,Flow Surge
2025-06-01 00:25:55.200,50.42,28.0,None
2025-06-01 00:27:21.600,47.34,30.2,None
2025-06-01 00:28:48.000,51.48,30.2,None
2025-06-01 00:30:14.400,49.77,29.7,None
2025-06-01 00:31:40.800,47.04,29.3,None
2025-06-01 00:33:07.200,49.08,31.1,None
2025-06-01 00:34:33.600,50.69,28.2,None
2025-06-01 00:36:00.000,50.65,29.6,None
2025-06-01 00:37:26.400,46.62,31.8,Sensor Drift
2025-06-01 00:38:52.800,52.06,30.9,None
2025-06-01 00:40:19.200,48.32,29.7,None
2025-06-01 00:41:45.600,50.66,31.0,None
2025-06-01 00:43:12.000,49.04,29.8,None
2025-06-01 00:44:38.400,47.79,28.8,None
2025-06-01 00:46:04.800,51.63,31.4,None
2025-06-01 00:47:31.200,49.86,31.0,None
2025-06-01 00:48:57.600,50.72,29.4,None
2025-06-01 00:50:24.000,50.72,31.5,None
2025-06-01 00:51:50.400,49.93,31.6,None
2025-06-01 00:53:16.800,44.76,30.8,None
2025-06-01 00:54:43.200,50.17,29.7,None
2025-06-01 00:56:09.600,50.18,28.0,None
2025-06-01 00:57:36.000,49.56,30.4,None
2025-06-01 00:59:02.400,52.96,29.5,None
2025-06-01 01:00:28.800,48.38,29.5,None
2025-06-01 01:01:55.200,51.83,30.3,None
2025-06-01 01:03:21.600,48.94,30.5,None
2025-06-01 01:04:48.000,50.19,31.0,None
2025-06-01 01:06:14.400,48.6,29.7,None
2025-06-01 01:07:40.800,49.22,28.5,None
2025-06-01 01:09:07.200,50.59,30.3,None
2025-06-01 01:10:33.600,50.01,29.8,None
2025-06-01 01:12:00.000,47.17,29.6,None
2025-06-01 01:13:26.400,49.31,29.2,None
2025-06-01 01:14:52.800,49.68,30.4,None
2025-06-01 01:16:19.200,70.66,31.2,Flow Surge
2025-06-01 01:17:45.600,50.52,29.9,None
2025-06-01 01:19:12.000,46.16,30.0,None
2025-06-01 01:20:38.400,50.12,32.5,None
2025-06-01 01:22:04.800,49.62,30.3,None
2025-06-01 01:23:31.200,64.9,29.8,Flow Surge
2025-06-01 01:24:57.600,52.29,30.8,None
2025-06-01 01:26:24.000,51.58,29.1,None
2025-06-01 01:27:50.400,52.81,28.6,None
2025-06-01 01:29:16.800,51.17,32.2,None
2025-06-01 01:30:43.200,48.02,29.4,None
2025-06-01 01:32:09.600,50.2,29.5,None
2025-06-01 01:33:36.000,46.9,30.1,None
2025-06-01 01:35:02.400,47.88,30.5,None
2025-06-01 01:36:28.800,48.16,31.5,None
2025-06-01 01:37:55.200,48.43,29.7,None
2025-06-01 01:39:21.600,51.63,28.8,None
2025-06-01 01:40:48.000,50.45,31.3,None
2025-06-01 01:42:14.400,46.79,30.2,None
2025-06-01 01:43:40.800,50.52,30.8,None
2025-06-01 01:45:07.200,47.53,28.7,None
2025-06-01 01:46:33.600,51.04,30.3,None
2025-06-01 01:48:00.000,50.5,30.3,None
2025-06-01 01:49:26.400,48.64,30.2,None
2025-06-01 01:50:52.800,50.59,29.3,None
2025-06-01 01:52:19.200,53.73,30.5,None
2025-06-01 01:53:45.600,47.62,30.7,None
2025-06-01 01:55:12.000,48.05,30.8,None
2025-06-01 01:56:38.400,52.32,29.2,None
2025-06-01 01:58:04.800,51.93,30.4,None
2025-06-01 01:59:31.200,,31.9,None
2025-06-01 02:00:57.600,49.51,29.2,None
2025-06-01 02:02:24.000,48.22,29.2,None
2025-06-01 02:03:50.400,49.85,30.3,None
2025-06-01 02:05:16.800,50.55,30.8,None
2025-06-01 02:06:43.200,50.03,31.5,None
2025-06-01 02:08:09.600,49.47,32.7,None
2025-06-01 02:09:36.000,51.25,29.1,None
2025-06-01 02:11:02.400,47.86,30.5,None
2025-06-01 02:12:28.800,49.55,30.7,None
2025-06-01 02:13:55.200,50.95,29.9,None
2025-06-01 02:15:21.600,45.77,25.5,Sensor Drift
2025-06-01 02:16:48.000,49.11,30.9,None
2025-06-01 02:18:14.400,50.43,28.8,None
2025-06-01 02:19:40.800,50.35,30.4,None
2025-06-01 02:21:07.200,48.23,30.2,None
2025-06-01 02:22:33.600,50.12,28.9,None
2025-06-01 02:24:00.000,50.72,,None
2025-06-01 02:25:26.400,52.17,31.1,None
2025-06-01 02:26:52.800,47.24,29.1,None
2025-06-01 02:28:19.200,51.03,30.5,None
2025-06-01 02:29:45.600,51.03,33.9,None
2025-06-01 02:31:12.000,51.14,31.1,None
2025-06-01 02:32:38.400,51.91,30.7,None
2025-06-01 02:34:04.800,49.37,30.8,None
2025-06-01 02:35:31.200,48.45,29.8,None
2025-06-01 02:36:57.600,49.03,30.1,None
2025-06-01 02:38:24.000,54.63,28.1,None
2025-06-01 02:39:50.400,51.37,28.4,None
2025-06-01 02:41:16.800,49.06,31.1,None
2025-06-01 02:42:43.200,50.13,28.9,None
2025-06-01 02:44:09.600,48.57,30.7,None
2025-06-01 02:45:36.000,48.54,,None
2025-06-01 02:47:02.400,50.09,29.3,None
2025-06-01 02:48:28.800,54.29,30.6,None
2025-06-01 02:49:55.200,45.95,30.2,None
2025-06-01 02:51:21.600,48.68,30.9,None
2025-06-01 02:52:48.000,33.41,29.9,Clog Detected
2025-06-01 02:54:14.400,51.01,30.9,None
2025-06-01 02:55:40.800,47.6,29.7,None
2025-06-01 02:57:07.200,49.05,29.3,None
2025-06-01 02:58:33.600,53.53,30.4,None
2025-06-01 03:00:00.000,47.48,30.9,None
2025-06-01 03:01:26.400,54.24,31.0,None
2025-06-01 03:02:52.800,46.96,29.5,None
2025-06-01 03:04:19.200,52.53,29.3,None
2025-06-01 03:05:45.600,50.89,30.8,None
2025-06-01 03:07:12.000,48.15,29.9,None
2025-06-01 03:08:38.400,43.52,29.0,None
2025-06-01 03:10:04.800,49.49,28.8,None
2025-06-01 03:11:31.200,53.26,28.6,None
2025-06-01 03:12:57.600,49.12,30.1,None
2025-06-01 03:14:24.000,52.88,28.6,None
2025-06-01 03:15:50.400,52.33,30.0,None
2025-06-01 03:17:16.800,48.04,30.5,None
2025-06-01 03:18:43.200,50.4,29.4,None
2025-06-01 03:20:09.600,50.14,29.6,None
2025-06-01 03:21:36.000,50.23,30.7,None
2025-06-01 03:23:02.400,,28.8,None
2025-06-01 03:24:28.800,54.27,28.0,None
2025-06-01 03:25:55.200,49.7,30.6,None
2025-06-01 03:27:21.600,50.56,29.4,None
2025-06-01 03:28:48.000,49.58,29.5,None
2025-06-01 03:30:14.400,48.82,30.8,None
2025-06-01 03:31:40.800,50.71,29.3,None
2025-06-01 03:33:07.200,51.8,30.3,None
2025-06-01 03:34:33.600,51.63,30.6,None
2025-06-01 03:36:00.000,48.34,29.4,None
2025-06-01 03:37:26.400,51.49,30.6,None
2025-06-01 03:38:52.800,49.96,30.1,None
2025-06-01 03:40:19.200,52.56,29.4,None
2025-06-01 03:41:45.600,51.09,29.8,None
2025-06-01 03:43:12.000,49.56,31.1,None
2025-06-01 03:44:38.400,51.65,30.8,None
2025-06-01 03:46:04.800,52.61,30.0,None
2025-06-01 03:47:31.200,51.36,29.7,None
2025-06-01 03:48:57.600,35.65,29.9,Clog Detected
2025-06-01 03:50:24.000,50.19,30.6,None
2025-06-01 03:51:50.400,48.36,32.1,None
2025-06-01 03:53:16.800,47.99,28.8,None
2025-06-01 03:54:43.200,52.32,30.8,None
2025-06-01 03:56:09.600,51.25,30.6,None
2025-06-01 03:57:36.000,49.98,29.1,None
2025-06-01 03:59:02.400,50.15,29.3,None
2025-06-01 04:00:28.800,51.95,29.9,None
2025-06-01 04:01:55.200,48.35,29.7,None
2025-06-01 04:03:21.600,50.83,29.4,None
2025-06-01 04:04:48.000,48.36,30.2,None
2025-06-01 04:06:14.400,50.49,29.5,None
2025-06-01 04:07:40.800,63.59,31.2,Flow Surge
2025-06-01 04:09:07.200,47.1,28.6,None
2025-06-01 04:10:33.600,48.56,29.8,None
2025-06-01 04:12:00.000,50.62,31.5,None
2025-06-01 04:13:26.400,51.72,29.8,None
2025-06-01 04:14:52.800,49.96,29.0,None
2025-06-01 04:16:19.200,49.96,29.7,None
2025-06-01 04:17:45.600,50.65,29.2,None
2025-06-01 04:19:12.000,51.04,31.5,None
2025-06-01 04:20:38.400,49.78,30.4,None
2025-06-01 04:22:04.800,51.38,29.6,None
2025-06-01 04:23:31.200,50.45,30.0,None
2025-06-01 04:24:57.600,50.2,29.2,None
2025-06-01 04:26:24.000,50.05,30.5,None
2025-06-01 04:27:50.400,52.9,31.0,None
2025-06-01 04:29:16.800,54.31,29.2,None
2025-06-01 04:30:43.200,51.74,30.2,None
2025-06-01 04:32:09.600,54.38,29.2,None
2025-06-01 04:33:36.000,48.32,29.4,None
2025-06-01 04:35:02.400,45.75,29.5,None
2025-06-01 04:36:28.800,48.48,30.2,None
2025-06-01 04:37:55.200,50.68,31.9,None
2025-06-01 04:39:21.600,51.9,29.4,None
2025-06-01 04:40:48.000,48.2,30.5,None
2025-06-01 04:42:14.400,47.36,31.8,None
2025-06-01 04:43:40.800,52.36,29.5,None
2025-06-01 04:45:07.200,46.57,31.4,None
2025-06-01 04:46:33.600,49.77,31.2,None
