timestamp,sensor_id,flow_rate,pressure,temperature_C,pump_status,anomaly_type
2025-06-01 00:00:00,S4,17.9,2.59,37.7,Yes,None
2025-06-01 00:01:00,S5,24.8,2.48,36.2,Yes,None
2025-06-01 00:02:00,S3,25.79,2.26,40.1,Yes,None
2025-06-01 00:03:00,S5,14.07,2.87,33.6,Yes,None
2025-06-01 00:04:00,S5,23.59,2.51,31.8,Yes,None
2025-06-01 00:05:00,S2,28.42,2.6,25.7,Yes,None
2025-06-01 00:06:00,S3,8.47,3.27,28.9,Yes,None
2025-06-01 00:07:00,S3,12.12,4.0,31.2,Yes,None
2025-06-01 00:08:00,S3,27.96,3.76,31.6,Yes,None
2025-06-01 00:09:00,S5,10.35,3.18,41.4,Yes,None
2025-06-01 00:10:00,S4,27.44,4.64,31.2,Yes,None
2025-06-01 00:11:00,S3,29.44,3.66,24.9,Yes,None
2025-06-01 00:12:00,S5,19.96,3.8,34.7,Yes,None
2025-06-01 00:13:00,S2,24.56,2.84,34.4,Yes,None
2025-06-01 00:14:00,S4,22.56,2.61,30.2,Yes,None
2025-06-01 00:15:00,S2,21.08,3.38,40.5,Yes,None
2025-06-01 00:16:00,S4,9.42,3.91,24.4,Yes,None
2025-06-01 00:17:00,S5,2.0,3.17,37.0,Yes,None
2025-06-01 00:18:00,S1,10.49,2.37,30.8,Yes,None
2025-06-01 00:19:00,S4,20.11,1.72,28.2,Yes,None
2025-06-01 00:20:00,S2,3.35,1.42,41.6,Yes,None
2025-06-01 00:21:00,S5,0.65,3.04,34.9,Yes,None
2025-06-01 00:22:00,S4,4.45,3.82,30.8,Yes,None
2025-06-01 00:23:00,S1,21.56,0.7,30.7,Yes,None
2025-06-01 00:24:00,S1,29.19,2.39,33.1,Yes,None
2025-06-01 00:25:00,S3,29.5,2.23,30.2,Yes,None
2025-06-01 00:26:00,S3,14.97,3.38,37.2,Yes,None
2025-06-01 00:27:00,S2,26.12,2.33,32.4,Yes,None
2025-06-01 00:28:00,S4,22.18,1.77,36.1,Yes,None
2025-06-01 00:29:00,S4,15.18,2.39,32.8,Yes,None
2025-06-01 00:30:00,S3,17.31,2.23,35.5,Yes,None
2025-06-01 00:31:00,S4,4.38,3.01,37.4,Yes,None
2025-06-01 00:32:00,S4,28.15,2.79,38.7,Yes,None
2025-06-01 00:33:00,S1,10.75,3.44,34.0,Yes,None
2025-06-01 00:34:00,S3,13.55,2.99,28.5,Yes,None
2025-06-01 00:35:00,S5,20.25,4.01,31.3,Yes,None
2025-06-01 00:36:00,S3,10.22,2.55,31.9,Yes,None
2025-06-01 00:37:00,S5,7.85,3.62,29.7,Yes,None
2025-06-01 00:38:00,S1,19.04,3.32,29.0,Yes,None
2025-06-01 00:39:00,S2,1.04,2.7,32.7,Yes,None
2025-06-01 00:40:00,S4,21.71,3.69,28.1,Yes,None
2025-06-01 00:41:00,S1,15.57,2.2,27.3,Yes,None
2025-06-01 00:42:00,S4,18.29,4.24,25.2,Yes,None
2025-06-01 00:43:00,S2,19.07,2.22,33.9,Yes,None
2025-06-01 00:44:00,S2,15.95,1.66,33.4,Yes,None
2025-06-01 00:45:00,S1,17.6,1.58,30.7,Yes,None
2025-06-01 00:46:00,S2,20.61,3.09,36.0,Yes,None
2025-06-01 00:47:00,S5,22.67,2.44,28.0,Yes,None
2025-06-01 00:48:00,S2,21.91,3.18,33.5,Yes,None
2025-06-01 00:49:00,S4,26.13,1.9,32.2,Yes,None
2025-06-01 00:50:00,S4,5.93,3.49,29.0,Yes,None
2025-06-01 00:51:00,S4,12.21,3.18,30.0,Yes,None
2025-06-01 00:52:00,S4,28.45,2.54,29.7,Yes,None
2025-06-01 00:53:00,S5,12.08,3.62,33.0,Yes,None
2025-06-01 00:54:00,S3,4.01,3.58,34.4,Yes,None
2025-06-01 00:55:00,S1,15.91,3.09,30.3,Yes,None
2025-06-01 00:56:00,S4,3.55,3.89,29.2,Yes,None
2025-06-01 00:57:00,S2,6.32,4.11,32.5,Yes,None
2025-06-01 00:58:00,S4,29.95,2.21,25.4,Yes,None
2025-06-01 00:59:00,S2,16.38,4.13,32.1,Yes,None
2025-06-01 01:00:00,S2,8.74,2.1,38.2,Yes,None
2025-06-01 01:01:00,S4,29.84,3.77,29.2,Yes,None
2025-06-01 01:02:00,S5,29.01,3.95,31.3,Yes,None
2025-06-01 01:03:00,S2,13.39,2.83,36.1,Yes,None
2025-06-01 01:04:00,S2,8.03,2.95,35.0,Yes,None
2025-06-01 01:05:00,S4,25.2,2.7,32.2,Yes,None
2025-06-01 01:06:00,S2,21.55,2.18,31.8,Yes,None
2025-06-01 01:07:00,S2,20.7,2.36,27.1,Yes,None
2025-06-01 01:08:00,S4,26.83,3.5,34.0,Yes,None
2025-06-01 01:09:00,S4,20.78,3.86,26.6,Yes,None
2025-06-01 01:10:00,S1,8.73,2.99,23.7,Yes,None
2025-06-01 01:11:00,S5,20.91,1.99,36.0,Yes,None
2025-06-01 01:12:00,S5,9.38,1.85,33.5,Yes,None
2025-06-01 01:13:00,S2,22.85,2.89,35.5,Yes,None
2025-06-01 01:14:00,S5,18.71,2.47,29.1,Yes,None
2025-06-01 01:15:00,S2,2.6,4.19,33.9,Yes,None
2025-06-01 01:16:00,S1,15.53,2.3,30.2,Yes,None
2025-06-01 01:17:00,S4,10.5,3.6,30.7,Yes,None
2025-06-01 01:18:00,S4,10.06,2.38,35.9,Yes,None
2025-06-01 01:19:00,S4,18.19,2.72,31.4,Yes,None
2025-06-01 01:20:00,S5,9.87,3.17,29.2,Yes,None
2025-06-01 01:21:00,S1,23.37,3.52,26.5,Yes,None
2025-06-01 01:22:00,S5,2.4,3.42,33.4,Yes,None
2025-06-01 01:23:00,S5,19.91,2.44,36.2,Yes,None
2025-06-01 01:24:00,S1,24.33,3.1,28.9,Yes,None
2025-06-01 01:25:00,S1,20.28,2.63,34.8,Yes,None
2025-06-01 01:26:00,S1,15.07,1.57,28.2,Yes,None
2025-06-01 01:27:00,S1,28.52,3.23,35.0,Yes,None
2025-06-01 01:28:00,S4,9.21,4.26,32.1,Yes,None
2025-06-01 01:29:00,S3,0.87,4.54,33.1,Yes,Clogging
2025-06-01 01:30:00,S3,13.13,3.32,29.2,Yes,None
2025-06-01 01:31:00,S1,1.28,3.25,33.4,Yes,None
2025-06-01 01:32:00,S3,28.63,0.5,29.6,Yes,None
2025-06-01 01:33:00,S3,6.53,5.73,30.3,Yes,Sensor Failure
2025-06-01 01:34:00,S1,23.73,4.43,25.9,Yes,None
2025-06-01 01:35:00,S3,23.3,3.76,28.9,Yes,None
2025-06-01 01:36:00,S5,6.77,3.07,29.9,Yes,None
2025-06-01 01:37:00,S2,18.75,0.77,33.3,Yes,None
2025-06-01 01:38:00,S2,1.73,3.18,34.4,Yes,None
2025-06-01 01:39:00,S1,14.66,3.03,29.6,Yes,None
2025-06-01 01:40:00,S4,0.74,1.59,31.3,Yes,None
2025-06-01 01:41:00,S1,27.66,3.45,38.7,Yes,None
2025-06-01 01:42:00,S4,29.29,4.24,32.5,Yes,None
2025-06-01 01:43:00,S2,6.9,3.34,29.9,Yes,None
2025-06-01 01:44:00,S1,6.48,3.34,25.3,Yes,None
2025-06-01 01:45:00,S5,22.69,3.4,28.6,Yes,None
2025-06-01 01:46:00,S3,7.83,2.68,28.4,Yes,None
2025-06-01 01:47:00,S4,26.88,3.76,39.9,Yes,None
2025-06-01 01:48:00,S3,17.35,4.52,28.6,Yes,None
2025-06-01 01:49:00,S3,10.72,3.04,32.2,Yes,None
2025-06-01 01:50:00,S1,25.03,2.24,33.5,Yes,None
2025-06-01 01:51:00,S3,14.95,1.61,36.4,Yes,None
2025-06-01 01:52:00,S5,27.38,3.5,32.0,Yes,None
2025-06-01 01:53:00,S3,27.86,3.61,30.0,Yes,None
2025-06-01 01:54:00,S1,5.21,3.36,29.7,Yes,None
2025-06-01 01:55:00,S5,0.37,2.76,33.4,No,Pump Malfunction
2025-06-01 01:56:00,S2,29.52,3.28,29.3,Yes,None
2025-06-01 01:57:00,S3,27.21,2.46,27.6,Yes,None
2025-06-01 01:58:00,S1,1.95,2.29,30.0,Yes,None
2025-06-01 01:59:00,S2,25.04,2.0,26.7,Yes,None
2025-06-01 02:00:00,S2,13.9,2.01,39.4,Yes,None
2025-06-01 02:01:00,S4,7.99,3.53,34.4,Yes,None
2025-06-01 02:02:00,S5,26.4,2.73,38.5,Yes,None
2025-06-01 02:03:00,S3,6.14,2.32,33.9,Yes,None
